absolute_path,relative_path,rating
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0007.txt,data/1/0007.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0013.txt,data/1/0013.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0012.txt,data/1/0012.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0006.txt,data/1/0006.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0038.txt,data/1/0038.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0010.txt,data/1/0010.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0004.txt,data/1/0004.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0005.txt,data/1/0005.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0011.txt,data/1/0011.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0039.txt,data/1/0039.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0015.txt,data/1/0015.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0001.txt,data/1/0001.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0029.txt,data/1/0029.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0028.txt,data/1/0028.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0014.txt,data/1/0014.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0002.txt,data/1/0002.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0016.txt,data/1/0016.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0017.txt,data/1/0017.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0003.txt,data/1/0003.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0058.txt,data/1/0058.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0064.txt,data/1/0064.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0070.txt,data/1/0070.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0071.txt,data/1/0071.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0065.txt,data/1/0065.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0059.txt,data/1/0059.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0073.txt,data/1/0073.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0067.txt,data/1/0067.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0098.txt,data/1/0098.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0099.txt,data/1/0099.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0066.txt,data/1/0066.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0072.txt,data/1/0072.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0076.txt,data/1/0076.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0062.txt,data/1/0062.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0089.txt,data/1/0089.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0088.txt,data/1/0088.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0063.txt,data/1/0063.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0077.txt,data/1/0077.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0061.txt,data/1/0061.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0075.txt,data/1/0075.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0049.txt,data/1/0049.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0048.txt,data/1/0048.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0074.txt,data/1/0074.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0060.txt,data/1/0060.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0100.txt,data/1/0100.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0079.txt,data/1/0079.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0045.txt,data/1/0045.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0051.txt,data/1/0051.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0086.txt,data/1/0086.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0092.txt,data/1/0092.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0093.txt,data/1/0093.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0087.txt,data/1/0087.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0050.txt,data/1/0050.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0044.txt,data/1/0044.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0078.txt,data/1/0078.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0052.txt,data/1/0052.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data/1/0046.txt,data/1/0046.txt,1
