absolute_path,relative_path,rating
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/5_0009.txt,data_copy/5_0009.txt,5
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/4_0009.txt,data_copy/4_0009.txt,4
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/4_0021.txt,data_copy/4_0021.txt,4
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/5_0035.txt,data_copy/5_0035.txt,5
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/5_0021.txt,data_copy/5_0021.txt,5
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/4_0035.txt,data_copy/4_0035.txt,4
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/3_0050.txt,data_copy/3_0050.txt,3
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/2_0044.txt,data_copy/2_0044.txt,2
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/2_0050.txt,data_copy/2_0050.txt,2
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/3_0044.txt,data_copy/3_0044.txt,3
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/2_0078.txt,data_copy/2_0078.txt,2
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/3_0078.txt,data_copy/3_0078.txt,3
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/3_0093.txt,data_copy/3_0093.txt,3
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/2_0087.txt,data_copy/2_0087.txt,2
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/2_0093.txt,data_copy/2_0093.txt,2
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/3_0087.txt,data_copy/3_0087.txt,3
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/1_0003.txt,data_copy/1_0003.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/1_0017.txt,data_copy/1_0017.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/1_0016.txt,data_copy/1_0016.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/1_0002.txt,data_copy/1_0002.txt,1
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/2_0092.txt,data_copy/2_0092.txt,2
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/3_0086.txt,data_copy/3_0086.txt,3
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/3_0092.txt,data_copy/3_0092.txt,3
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/2_0086.txt,data_copy/2_0086.txt,2
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/3_0079.txt,data_copy/3_0079.txt,3
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/2_0079.txt,data_copy/2_0079.txt,2
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/2_0051.txt,data_copy/2_0051.txt,2
/Users/wardonne/PycharmProjects/PP_2_Lab/data_copy/3_0045.txt,data_copy/3_0045.txt,3
